Chart Number,Bird Species,Admission Date,When Captured,Age,Sex,Address - Captured,City - Captured,Injury Cause,Status
2016-00012,Red-tailed Hawk,06.01.2016,1/6/16 1:30 PM,A,UNK,433 Carlton,Wheaton,Gunshot,Died after 24 hrs
2016-00014,Canada Goose,06.01.2016,1/6/16 3 PM,A,UNK,(Field Museum) 1400 S Lake Shore Drive,Chicago,Unknown,Died after 24 hrs
2016-00016,Cooper's Hawk,07.01.2016,1/7/16 10:30 AM,A,UNK,(Aldi Store) 39th Street,Lyons,Collision - window,Released
2016-00019,Canada Goose,08.01.2016,1/8/16 2 PM,A,UNK,250 S. Grove Avenue,Elgin,Unknown,Released
2016-00031,Northern Cardinal,12.01.2016,1/11/16,A,F,308 N 6th,Maywood,Collision - building,Released
2016-00034,American Tree Sparrow,13.01.2016,1/12/16 8 AM,A,UNK,10 S. Wacker - e side,Chicago,Collision - building,Released
2016-00035,Mouring Dove,13.01.2016,11/13/16 1 PM,UNK,UNK,419 W.  144th St,Riverdale,Unknown,Died before exam
2016-00040,American Tree Sparrow,14.01.2016,1/13/16,A,UNK,837 Bonita,Elk Grove Village,Collision - window,Died after 24 hrs
2016-00042,Red-bellied Woodpecker,15.01.2016,1/14/16,A,M,5712 N. New Hampshire Avenue,Chicago,Unknown,Died within 24 hours
2016-00044,House Sparrow,16.01.2016,1/15/16 2:45 PM,A,F,4240 N Marmora Ave.,Chicago,Unknown,Euthanized within 24 hour of admit
2016-00052,Long-eared Owl,20.01.2016,1/20/16 9 AM,A,UNK,2123 W. Walton,Chicago,Unknown,Released
2016-00069,Cooper's Hawk,27.01.2016,1/27/16 6 PM,YoY,UNK,103 Elm Lane,Streamwood,Unknown,Euthanized after 24 hours
2016-00070,Red-tailed Hawk,28.01.2016,1/28/16 11 AM,A,UNK,141 Sherman Ct.,Bartlett,Unknown,Died within 24 hours
2016-00074,House Sparrow,29.01.2016,1/27/16 6:30 AM,A,F,Hoyne & Farragut,Chicago,Unknown,Euthanized within 24 hour of admit
2016-00079,Cooper's Hawk,30.01.2016,1/30/16 PM,A,UNK,13948 S. Oakdale Circle,Plainfield,Animal attack - cat,Euthanized within 24 hour of admit
2016-00085,Barred Owl,01.02.2016,2/1/16  Afternoon,A,UNK,,Beecher,Unknown,Released
